Timestamp,Voltage,Altitude,Lat,Lon,PWM_Value
1774362252.8950982,12.143,12.29,-35.3632589,149.1652264,1350
1774362253.8995333,12.242,14.61,-35.363258,149.1652259,1350
1774362254.9068701,12.242,15.81,-35.3632574,149.1652261,1350
1774362255.9102786,12.242,16.39,-35.363257,149.1652267,1350
1774362256.9171216,12.242,16.64,-35.3632567,149.1652275,1350
1774362257.93179,12.242,16.72,-35.3632565,149.1652285,1350
1774362258.9326036,12.242,16.68,-35.3632564,149.1652291,1350
1774362259.9353995,12.242,16.59,-35.3632562,149.1652295,1350
1774362260.940894,12.242,16.46,-35.363256,149.1652299,1350
1774362261.947092,12.242,16.31,-35.3632558,149.1652303,1350
1774362262.9502797,12.242,16.14,-35.3632557,149.1652307,1350
1774362263.9639716,12.242,15.89,-35.3632554,149.165231,1350
1774362264.969536,12.242,15.68,-35.3632552,149.1652311,1350
1774362265.9721518,12.242,15.46,-35.3632549,149.1652312,1350
1774362266.9729047,12.242,15.24,-35.3632546,149.1652311,1350
1774362267.9764345,12.242,14.95,-35.3632541,149.1652311,1350
1774362268.9916847,12.242,14.71,-35.3632538,149.1652311,1350
1774362269.9917066,12.242,14.47,-35.3632537,149.1652312,1350
1774362270.9936779,12.242,14.22,-35.3632534,149.1652313,1350
1774362271.9986198,12.242,13.98,-35.363253,149.1652314,1350
1774362273.0000372,12.242,13.72,-35.3632525,149.1652314,1350
1774362274.0049787,12.242,13.45,-35.3632521,149.1652314,1350
1774362275.0168974,12.242,13.17,-35.3632517,149.1652314,1350
1774362276.031639,12.242,12.81,-35.3632513,149.1652315,1350
1774362277.0333064,12.242,12.53,-35.3632509,149.1652314,1350
1774362278.0334542,12.242,12.24,-35.3632504,149.1652314,1350
1774362279.0336626,12.242,11.95,-35.3632501,149.1652315,1350
1774362280.0343924,12.242,11.65,-35.3632498,149.1652315,1350
1774362281.0405326,12.242,11.37,-35.3632494,149.1652316,1350
1774362282.0412774,12.242,11.08,-35.3632491,149.1652317,1350
1774362283.0430236,12.242,10.81,-35.3632487,149.1652318,1350
1774362284.0589275,12.242,10.55,-35.3632484,149.1652316,1350
1774362285.0728233,12.242,10.23,-35.3632479,149.1652315,1350
1774362286.0734737,12.242,9.96,-35.3632475,149.1652314,1350
1774362287.0811858,12.242,9.7,-35.3632472,149.1652314,1350
1774362288.0845022,12.242,9.44,-35.3632468,149.1652314,1350
1774362289.0896876,12.242,9.19,-35.3632464,149.1652314,1350
1774362290.0925293,12.242,8.95,-35.363246,149.1652313,1350
1774362291.0963209,12.242,8.67,-35.3632456,149.1652314,1350
1774362292.1012485,12.242,8.45,-35.3632453,149.1652315,1350
1774362293.1034205,12.242,8.23,-35.3632449,149.1652315,1350
1774362294.1183605,12.242,8.01,-35.3632445,149.1652316,1350
1774362295.1240134,12.242,7.8,-35.3632442,149.1652317,1350
1774362296.1297913,12.242,7.58,-35.3632438,149.1652317,1350
1774362297.1320457,12.242,7.32,-35.3632433,149.1652316,1350
1774362298.1412282,12.242,7.09,-35.3632429,149.1652314,1350
1774362299.1424181,12.242,6.85,-35.3632425,149.1652312,1350
1774362300.145718,12.242,6.6,-35.3632421,149.165231,1350
